"Date","Time","Open","High","Low","Close","Volume"
08/28/2014,1521,102.35,102.37,102.34,102.37,35244
08/28/2014,1522,102.36,102.38,102.36,102.38,37681
08/28/2014,1523,102.38,102.39,102.37,102.39,67338
08/28/2014,1524,102.38,102.39,102.35,102.37,46369
08/28/2014,1525,102.38,102.38,102.34,102.35,31070
08/28/2014,1526,102.34,102.36,102.33,102.35,25505
08/28/2014,1527,102.35,102.36,102.34,102.35,32869
08/28/2014,1528,102.35,102.36,102.33,102.34,36621
08/28/2014,1529,102.34,102.35,102.33,102.35,24988
08/28/2014,1530,102.35,102.42,102.34,102.4,179966
08/28/2014,1531,102.4,102.44,102.39,102.43,104149
08/28/2014,1532,102.44,102.44,102.42,102.43,65184
08/28/2014,1533,102.43,102.44,102.42,102.42,25770
08/28/2014,1534,102.43,102.45,102.41,102.43,90959
08/28/2014,1535,102.43,102.45,102.41,102.42,70739
08/28/2014,1536,102.41,102.45,102.4,102.45,78659
08/28/2014,1537,102.45,102.46,102.42,102.43,81926
08/28/2014,1538,102.43,102.45,102.43,102.45,43435
08/28/2014,1539,102.44,102.46,102.44,102.45,89678
08/28/2014,1540,102.45,102.45,102.4,102.45,101313
08/28/2014,1541,102.45,102.45,102.43,102.45,48925
08/28/2014,1542,102.44,102.45,102.43,102.44,62170
08/28/2014,1543,102.45,102.45,102.43,102.45,138903
08/28/2014,1544,102.45,102.46,102.42,102.45,86982
08/28/2014,1545,102.45,102.48,102.43,102.47,130872
08/28/2014,1546,102.48,102.52,102.46,102.49,250366
08/28/2014,1547,102.48,102.49,102.46,102.47,176936
08/28/2014,1548,102.47,102.48,102.42,102.42,98391
08/28/2014,1549,102.43,102.48,102.42,102.47,97182
08/28/2014,1550,102.46,102.47,102.26,102.29,406267
08/28/2014,1551,102.29,102.33,102.27,102.29,136637
08/28/2014,1552,102.29,102.3,102.2,102.2,207341
08/28/2014,1553,102.21,102.29,102.2,102.26,187609
08/28/2014,1554,102.25,102.25,102.19,102.2,146644
08/28/2014,1555,102.2,102.28,102.19,102.21,236948
08/28/2014,1556,102.21,102.25,102.19,102.2,194158
08/28/2014,1557,102.2,102.22,102.18,102.22,188914
08/28/2014,1558,102.22,102.28,102.21,102.27,222596
08/28/2014,1559,102.27,102.32,102.24,102.25,646830
08/29/2014,0930,102.86,102.88,102.68,102.72,1148054
08/29/2014,0931,102.72,102.9,102.72,102.88,250905
08/29/2014,0932,102.88,102.9,102.84,102.88,205223
08/29/2014,0933,102.88,102.89,102.66,102.67,265845
